position			Title			Directors			IMDb_Rating			Year			actor/actress1			actor/actress2			actor/actress3			actor/actress4			box_office			budget
2			Goodfellas			Martin_Scorsese			8.7			1990			Robert_De_Niro			Ray_Liotta			Joe_Pesci			Lorraine_Bracco			46836394			25000000
3			Pulp_Fiction			Quentin_Tarantino			8.9			1994			John_Travolta			Uma_Thurman			Samuel_L._Jackson			Bruce_Willis			10734320			8000000
4			The_Usual_Suspects			Bryan_Singer			8.6			1995			Kevin_Spacey			Gabriel_Byrne			Chazz_Palminteri			Stephen_Baldwin			2503343			6000000
6			Trainspotting			Danny_Boyle			8.2			1996			Ewan_McGregor			Ewen_Bremner			Jonny_Lee_Miller			Kevin_McKidd			16501385			3500000
7			Fight_Club			David_Fincher			8.9			1999			Brad_Pitt			Edward_Norton			Helena_Bonham_Carter			Meat_Loaf			37023395			63000000
8			Schindler's_List			Steven_Spielberg			8.9			1993			Liam_Neeson			Ralph_Fiennes			Ben_Kingsley			Caroline_Goodall			16439233			22000000
9			Boogie_Nights			Paul_Thomas_Anderson			7.9			1997			Mark_Wahlberg			Julianne_Moore			Burt_Reynolds			Luis_Guzm¨¢n			26384919			15000000
10			Reservoir_Dogs			Quentin_Tarantino			8.4			1992			Harvey_Keitel			Tim_Roth			Michael_Madsen			Chris_Penn			2812029			12000000
11			The_Shawshank_Redemption			Frank_Darabont			9.3			1994			Tim_Robbins			Morgan_Freeman			Bob_Gunton			William_Sadler			28341469			25000000
14			L.A._Confidential			Curtis_Hanson			8.3			1997			Kevin_Spacey			Russell_Crowe			Guy_Pearce			Kim_Basinger			64604977			35000000
17			Fargo			Joel_Coen			8.2			1996			William_H._Macy			Frances_McDormand			Steve_Buscemi			Peter_Stormare			24611975			7000000
18			Magnolia			Paul_Thomas_Anderson			8			1999			Tom_Cruise			Jason_Robards			Julianne_Moore			Philip_Seymour_Hoffman			22450975			37000000
20			Donnie_Darko			Richard_Kelly			8.1			2001			Jake_Gyllenhaal			Jena_Malone			Mary_McDonnell			Holmes_Osborne			727883			4500000
22			Heat			Michael_Mann			8.3			1995			Al_Pacino			Robert_De_Niro			Val_Kilmer			Jon_Voight			67436000			60000000
23			American_Beauty			Sam_Mendes			8.4			1999			Kevin_Spacey			Annette_Bening			Thora_Birch			Wes_Bentley			130058047			15000000
24			The_Big_Lebowski			Joel_Coen			8.2			1998			Jeff_Bridges			John_Goodman			Julianne_Moore			Steve_Buscemi			17439163			15000000
26			Un_prophÃ¨te			Jacques_Audiard			7.9			2009			Tahar_Rahim			Niels_Arestrup			Adel_Bencherif			Reda_Kateb			2084637			12000000
27			The_Departed			Martin_Scorsese			8.5			2006			Leonardo_DiCaprio			Matt_Damon			Jack_Nicholson			Mark_Wahlberg			132373442			90000000
28			The_Royal_Tenenbaums			Wes_Anderson			7.6			2001			Gene_Hackman			Gwyneth_Paltrow			Anjelica_Huston			Ben_Stiller			52353636			21000000
29			There's_Something_About_Mary			Bobby_Farrelly			7.1			1998			Ben_Stiller			Cameron_Diaz			Matt_Dillon			Lee_Evans			176483808			23000000
30			LÃ©on			Luc_Besson			8.6			1994			Jean_Reno			Gary_Oldman			Natalie_Portman			Danny_Aiello			19251002			115000000
31			Cidade_de_Deus			Fernando_Meirelles			8.7			2002			Alexandre_Rodrigues			Matheus_Nachtergaele			Leandro_Firmino			Phellipe_Haagensen			7563397			3300000
33			Lock,_Stock_and_Two_Smoking_Barrels			Guy_Ritchie			8.2			1998			Jason_Flemyng			Dexter_Fletcher			Nick_Moran			Jason_Statham			3650677			960000
34			The_Truman_Show			Peter_Weir			8.1			1998			Jim_Carrey			Ed_Harris			Laura_Linney			Noah_Emmerich			125603360			60000000
35			Toy_Story			John_Lasseter			8.3			1995			Tom_Hanks			Tim_Allen			Don_Rickles			Jim_Varney			30144903			30000000
37			Rushmore			Wes_Anderson			7.7			1998			Jason_Schwartzman			Bill_Murray			Olivia_Williams			Seymour_Cassel			17096053			11000000
38			The_Matrix			The_Wachowski_Brothers			8.7			1999			Keanu_Reeves			Laurence_Fishburne			Carrie-Anne_Moss			Hugo_Weaving			171479930			63000000
39			The_Dark_Knight			Christopher_Nolan			9			2008			Christian_Bale			Heath_Ledger			Aaron_Eckhart			Michael_Caine			534858444			185000000
40			Se7en			David_Fincher			8.6			1995			Morgan_Freeman			Brad_Pitt			Kevin_Spacey			Andrew_Kevin_Walker			100125643			33000000
41			Good_Will_Hunting			Gus_Van_Sant			8.3			1997			Robin_Williams			Matt_Damon			Ben_Affleck			Stellan_Skarsg?rd			138339411			10000000
46			Casino			Martin_Scorsese			8.2			1995			Robert_De_Niro			Sharon_Stone			Joe_Pesci			James_Woods			42438300			52000000
47			True_Romance			Tony_Scott			8			1993			Christian_Slater			Patricia_Arquette			Dennis_Hopper			Val_Kilmer			12281500			13000000
48			Sin_City			Frank_Miller			8.1			2005			Mickey_Rourke			Clive_Owen			Bruce_Willis			Jessica_Alba			74103820			40000000
49			Gladiator			Ridley_Scott			8.5			2000			Russell_Crowe			Joaquin_Phoenix			Connie_Nielsen			Oliver_Reed			187705427			103000000
51			Miller's_Crossing			Joel_Coen			7.9			1990			Gabriel_Byrne			Albert_Finney			John_Turturro			Marcia_Gay_Harden			5080409			14000000
52			Being_John_Malkovich			Spike_Jonze			7.8			1999			John_Cusack			Cameron_Diaz			Catherine_Keener			John_Malkovich			22858926			13000000
55			Kick-Ass			Matthew_Vaughn			7.7			2010			Aaron_Taylor-Johnson			Nicolas_Cage			Chlo_Grace_Moretz			Garrett_M._Brown			48043505			30000000
56			The_Prestige			Christopher_Nolan			8.5			2006			Christian_Bale			Hugh_Jackman			Scarlett_Johansson			Michael_Caine			53089891			40000000
57			Memento			Christopher_Nolan			8.5			2000			Guy_Pearce			Carrie-Anne_Moss			Joe_Pantoliano			Mark_Boone_Junior			25530884			9000000
58			Inglourious_Basterds			Quentin_Tarantino			8.3			2009			Brad_Pitt			Diane_Kruger			Eli_Roth			M¨¦lanie_Laurent			120523073			75000000
60			Jurassic_Park			Steven_Spielberg			8.1			1993			Sam_Neill			Laura_Dern			Jeff_Goldblum			Richard_Attenborough			402348347			63000000
61			The_Green_Mile			Frank_Darabont			8.5			1999			Tom_Hanks			Michael_Clarke_Duncan			David_Morse			Bonnie_Hunt			136801374			60000000
63			Unforgiven			Clint_Eastwood			8.3			1992			Clint_Eastwood			Gene_Hackman			Morgan_Freeman			Richard_Harris			101157447			14400000
64			The_General			John_Boorman			7.3			1998			Brendan_Gleeson			Adrian_Dunbar			Sean_McGinley			Maria_Doyle_Kennedy			1211865			286365
66			Drive			Nicolas_Winding_Refn			7.8			2011			Ryan_Gosling			Carey_Mulligan			Bryan_Cranston			Albert_Brooks			35054909			15000000
68			Forrest_Gump			Robert_Zemeckis			8.8			1994			Tom_Hanks			Robin_Wright			Gary_Sinise			Sally_Field			15803823			55000000
